HomeTeam,AwayTeam,FTHG,FTAG,ScoreDiff,Results,HomeWinStreak,AwayWinStreak,TGSH,TGSA
Burnley,Swansea,0,1,-1,0,0,0,0,0
Crystal Palace,West Brom,0,1,-1,0,0,0,0,0
Everton,Tottenham,1,1,0,1,0,0,0,0
Hull,Leicester,2,1,1,2,1,0,0,0
Man City,Sunderland,2,1,1,2,2,0,0,0
Middlesbrough,Stoke,1,1,0,1,0,0,0,0
Southampton,Watford,1,1,0,1,0,0,0,0
Arsenal,Liverpool,3,4,-1,0,0,0,0,0
Bournemouth,Man United,1,3,-2,0,0,0,0,0
Chelsea,West Ham,2,1,1,2,1,0,0,0
Man United,Southampton,2,0,2,2,2,0,0,0
Burnley,Liverpool,2,0,2,2,3,0,1,0
Leicester,Arsenal,0,0,0,1,0,0,0,0
Stoke,Man City,1,4,-3,0,0,0,0,0
Swansea,Hull,0,2,-2,0,0,0,0,0
Tottenham,Crystal Palace,1,0,1,2,1,0,0,0
Watford,Chelsea,1,2,-1,0,0,0,0,0
West Brom,Everton,1,2,-1,0,0,0,0,0
Sunderland,Middlesbrough,1,2,-1,0,0,0,0,0
West Ham,Bournemouth,1,0,1,2,1,0,0,0
Chelsea,Burnley,3,0,3,2,2,0,0,0
Crystal Palace,Bournemouth,1,1,0,1,0,0,0,0
Everton,Stoke,1,0,1,2,1,0,0,0
Hull,Man United,0,1,-1,0,0,0,0,0
Leicester,Swansea,2,1,1,2,1,0,0,0
Southampton,Sunderland,1,1,0,1,0,0,0,0
Tottenham,Liverpool,1,1,0,1,0,0,0,0
Watford,Arsenal,1,3,-2,0,0,0,0,0
Man City,West Ham,3,1,2,2,1,0,0,0
West Brom,Middlesbrough,0,0,0,1,0,0,0,0
Arsenal,Southampton,2,1,1,2,1,0,0,0
Bournemouth,West Brom,1,0,1,2,2,0,0,0
Burnley,Hull,1,1,0,1,0,0,0,0
Liverpool,Leicester,4,1,3,2,1,0,0,0
Man United,Man City,1,2,-1,0,0,0,0,0
Middlesbrough,Crystal Palace,1,2,-1,0,0,0,0,0
Stoke,Tottenham,0,4,-4,0,0,0,0,0
West Ham,Watford,2,4,-2,0,0,0,0,0
Swansea,Chelsea,2,2,0,1,0,0,0,0
Sunderland,Everton,0,3,-3,0,0,0,0,0
Chelsea,Liverpool,1,2,-1,0,0,0,0,0
Everton,Middlesbrough,3,1,2,2,1,0,0,0
Hull,Arsenal,1,4,-3,0,0,0,0,0
Leicester,Burnley,3,0,3,2,1,0,0,0
Man City,Bournemouth,4,0,4,2,2,0,0,0
West Brom,West Ham,4,2,2,2,3,0,1,0
Crystal Palace,Stoke,4,1,3,2,4,0,1,0
Southampton,Swansea,1,0,1,2,5,0,1,0
Tottenham,Sunderland,1,0,1,2,6,0,1,0
Watford,Man United,3,1,2,2,7,0,1,0
Arsenal,Chelsea,3,0,3,2,8,0,1,0
Bournemouth,Everton,1,0,1,2,9,0,1,0
Liverpool,Hull,5,1,4,2,10,0,1,0
Man United,Leicester,4,1,3,2,11,0,1,0
Middlesbrough,Tottenham,1,2,-1,0,0,0,0,0
Stoke,West Brom,1,1,0,1,0,0,0,0
Sunderland,Crystal Palace,2,3,-1,0,0,0,0,0
Swansea,Man City,1,3,-2,0,0,0,0,0
West Ham,Southampton,0,3,-3,0,0,0,0,0
Burnley,Watford,2,0,2,2,1,0,0,0
Everton,Crystal Palace,1,1,0,1,0,0,0,0
Hull,Chelsea,0,2,-2,0,0,0,0,0
Sunderland,West Brom,1,1,0,1,0,0,0,0
Swansea,Liverpool,1,2,-1,0,0,0,0,0
Watford,Bournemouth,2,2,0,1,0,0,0,0
West Ham,Middlesbrough,1,1,0,1,0,0,0,0
Burnley,Arsenal,0,1,-1,0,0,0,0,0
Leicester,Southampton,0,0,0,1,0,0,0,0
Man United,Stoke,1,1,0,1,0,0,0,0
Tottenham,Man City,2,0,2,2,1,0,0,0
Arsenal,Swansea,3,2,1,2,2,0,0,0
Bournemouth,Hull,6,1,5,2,3,0,1,0
Chelsea,Leicester,3,0,3,2,4,0,1,0
Crystal Palace,West Ham,0,1,-1,0,0,0,0,0
Man City,Everton,1,1,0,1,0,0,0,0
Stoke,Sunderland,2,0,2,2,1,0,0,0
West Brom,Tottenham,1,1,0,1,0,0,0,0
Middlesbrough,Watford,0,1,-1,0,0,0,0,0
Southampton,Burnley,3,1,2,2,1,0,0,0
Liverpool,Man United,0,0,0,1,0,0,0,0
Arsenal,Middlesbrough,0,0,0,1,0,0,0,0
Bournemouth,Tottenham,0,0,0,1,0,0,0,0
Burnley,Everton,2,1,1,2,1,0,0,0
Hull,Stoke,0,2,-2,0,0,0,0,0
Leicester,Crystal Palace,3,1,2,2,1,0,0,0
Liverpool,West Brom,2,1,1,2,2,0,0,0
Swansea,Watford,0,0,0,1,0,0,0,0
West Ham,Sunderland,1,0,1,2,1,0,0,0
Chelsea,Man United,4,0,4,2,2,0,0,0
Man City,Southampton,1,1,0,1,0,0,0,0
Crystal Palace,Liverpool,2,4,-2,0,0,0,0,0
Man United,Burnley,0,0,0,1,0,0,0,0
Middlesbrough,Bournemouth,2,0,2,2,1,0,0,0
Sunderland,Arsenal,1,4,-3,0,0,0,0,0
Tottenham,Leicester,1,1,0,1,0,0,0,0
Watford,Hull,1,0,1,2,1,0,0,0
West Brom,Man City,0,4,-4,0,0,0,0,0
Everton,West Ham,2,0,2,2,1,0,0,0
Southampton,Chelsea,0,2,-2,0,0,0,0,0
Stoke,Swansea,3,1,2,2,1,0,0,0
Bournemouth,Sunderland,1,2,-1,0,0,0,0,0
Burnley,Crystal Palace,3,2,1,2,1,0,0,0
Chelsea,Everton,5,0,5,2,2,0,0,0
Man City,Middlesbrough,1,1,0,1,0,0,0,0
West Ham,Stoke,1,1,0,1,0,0,0,0
Arsenal,Tottenham,1,1,0,1,0,0,0,0
Hull,Southampton,2,1,1,2,1,0,0,0
Leicester,West Brom,1,2,-1,0,0,0,0,0
Liverpool,Watford,6,1,5,2,1,0,0,0
Swansea,Man United,1,3,-2,0,0,0,0,0
Crystal Palace,Man City,1,2,-1,0,0,0,0,0
Everton,Swansea,1,1,0,1,0,0,0,0
Man United,Arsenal,1,1,0,1,0,0,0,0
Southampton,Liverpool,0,0,0,1,0,0,0,0
Stoke,Bournemouth,0,1,-1,0,0,0,0,0
Sunderland,Hull,3,0,3,2,1,0,0,0
Tottenham,West Ham,3,2,1,2,2,0,0,0
Watford,Leicester,2,1,1,2,3,0,1,0
Middlesbrough,Chelsea,0,1,-1,0,0,0,0,0
West Brom,Burnley,4,0,4,2,1,0,0,0
Burnley,Man City,1,2,-1,0,0,0,0,0
Chelsea,Tottenham,2,1,1,2,1,0,0,0
Hull,West Brom,1,1,0,1,0,0,0,0
Leicester,Middlesbrough,2,2,0,1,0,0,0,0
Liverpool,Sunderland,2,0,2,2,1,0,0,0
Swansea,Crystal Palace,5,4,1,2,2,0,0,0
Arsenal,Bournemouth,3,1,2,2,3,0,1,0
Man United,West Ham,1,1,0,1,0,0,0,0
Southampton,Everton,1,0,1,2,1,0,0,0
Watford,Stoke,0,1,-1,0,0,0,0,0
Crystal Palace,Southampton,3,0,3,2,1,0,0,0
Man City,Chelsea,1,3,-2,0,0,0,0,0
Stoke,Burnley,2,0,2,2,1,0,0,0
Sunderland,Leicester,2,1,1,2,2,0,0,0
Tottenham,Swansea,5,0,5,2,3,0,1,0
West Brom,Watford,3,1,2,2,4,0,1,0
West Ham,Arsenal,1,5,-4,0,0,0,0,0
Bournemouth,Liverpool,4,3,1,2,1,0,0,0
Everton,Man United,1,1,0,1,0,0,0,0
Middlesbrough,Hull,1,0,1,2,1,0,0,0
Arsenal,Stoke,3,1,2,2,2,0,0,0
Burnley,Bournemouth,3,2,1,2,3,0,1,0
Hull,Crystal Palace,3,3,0,1,0,0,0,0
Leicester,Man City,4,2,2,2,1,0,0,0
Swansea,Sunderland,3,0,3,2,2,0,0,0
Watford,Everton,3,2,1,2,3,0,1,0
Chelsea,West Brom,1,0,1,2,4,0,1,0
Liverpool,West Ham,2,2,0,1,0,0,0,0
Man United,Tottenham,1,0,1,2,1,0,0,0
Southampton,Middlesbrough,1,0,1,2,2,0,0,0
Bournemouth,Leicester,1,0,1,2,3,0,1,0
Everton,Arsenal,2,1,1,2,4,0,1,0
Crystal Palace,Man United,1,2,-1,0,0,0,0,0
Man City,Watford,2,0,2,2,1,0,0,0
Middlesbrough,Liverpool,0,3,-3,0,0,0,0,0
Stoke,Southampton,0,0,0,1,0,0,0,0
Sunderland,Chelsea,0,1,-1,0,0,0,0,0
Tottenham,Hull,3,0,3,2,1,0,0,0
West Brom,Swansea,3,1,2,2,2,0,0,0
West Ham,Burnley,1,0,1,2,3,0,1,0
Crystal Palace,Chelsea,0,1,-1,0,0,0,0,0
Middlesbrough,Swansea,3,0,3,2,1,0,0,0
Stoke,Leicester,2,2,0,1,0,0,0,0
Sunderland,Watford,1,0,1,2,1,0,0,0
West Brom,Man United,0,2,-2,0,0,0,0,0
West Ham,Hull,1,0,1,2,1,0,0,0
Bournemouth,Southampton,1,3,-2,0,0,0,0,0
Man City,Arsenal,2,1,1,2,1,0,0,0
Tottenham,Burnley,2,1,1,2,2,0,0,0
Everton,Liverpool,0,1,-1,0,0,0,0,0
Arsenal,West Brom,1,0,1,2,1,0,0,0
Burnley,Middlesbrough,1,0,1,2,2,0,0,0
Chelsea,Bournemouth,3,0,3,2,3,0,1,0
Hull,Man City,0,3,-3,0,0,0,0,0
Leicester,Everton,0,2,-2,0,0,0,0,0
Man United,Sunderland,3,1,2,2,1,0,0,0
Swansea,West Ham,1,4,-3,0,0,0,0,0
Watford,Crystal Palace,1,1,0,1,0,0,0,0
Liverpool,Stoke,4,1,3,2,1,0,0,0
Southampton,Tottenham,1,4,-3,0,0,0,0,0
Hull,Everton,2,2,0,1,0,0,0,0
Burnley,Sunderland,4,1,3,2,1,0,0,0
Chelsea,Stoke,4,2,2,2,2,0,0,0
Leicester,West Ham,1,0,1,2,3,0,1,0
Liverpool,Man City,1,0,1,2,4,0,1,0
Man United,Middlesbrough,2,1,1,2,5,0,1,0
Southampton,West Brom,1,2,-1,0,0,0,0,0
Swansea,Bournemouth,0,3,-3,0,0,0,0,0
Arsenal,Crystal Palace,2,0,2,2,1,0,0,0
Watford,Tottenham,1,4,-3,0,0,0,0,0
Everton,Southampton,3,0,3,2,1,0,0,0
Man City,Burnley,2,1,1,2,2,0,0,0
Middlesbrough,Leicester,0,0,0,1,0,0,0,0
Sunderland,Liverpool,2,2,0,1,0,0,0,0
West Brom,Hull,3,1,2,2,1,0,0,0
West Ham,Man United,0,2,-2,0,0,0,0,0
Bournemouth,Arsenal,3,3,0,1,0,0,0,0
Crystal Palace,Swansea,1,2,-1,0,0,0,0,0
Stoke,Watford,2,0,2,2,1,0,0,0
Tottenham,Chelsea,2,0,2,2,2,0,0,0
Burnley,Southampton,1,0,1,2,3,0,1,0
Hull,Bournemouth,3,1,2,2,4,0,1,0
Leicester,Chelsea,0,3,-3,0,0,0,0,0
Sunderland,Stoke,1,3,-2,0,0,0,0,0
Swansea,Arsenal,0,4,-4,0,0,0,0,0
Tottenham,West Brom,4,0,4,2,1,0,0,0
Watford,Middlesbrough,0,0,0,1,0,0,0,0
West Ham,Crystal Palace,3,0,3,2,1,0,0,0
Everton,Man City,4,0,4,2,2,0,0,0
Man United,Liverpool,1,1,0,1,0,0,0,0
Bournemouth,Watford,2,2,0,1,0,0,0,0
Crystal Palace,Everton,0,1,-1,0,0,0,0,0
Liverpool,Swansea,2,3,-1,0,0,0,0,0
Man City,Tottenham,2,2,0,1,0,0,0,0
Middlesbrough,West Ham,1,3,-2,0,0,0,0,0
Stoke,Man United,1,1,0,1,0,0,0,0
West Brom,Sunderland,2,0,2,2,1,0,0,0
Arsenal,Burnley,2,1,1,2,2,0,0,0
Chelsea,Hull,2,0,2,2,3,0,1,0
Southampton,Leicester,3,0,3,2,4,0,1,0
Arsenal,Watford,1,2,-1,0,0,0,0,0
Bournemouth,Crystal Palace,0,2,-2,0,0,0,0,0
Burnley,Leicester,1,0,1,2,1,0,0,0
Liverpool,Chelsea,1,1,0,1,0,0,0,0
Middlesbrough,West Brom,1,1,0,1,0,0,0,0
Sunderland,Tottenham,0,0,0,1,0,0,0,0
Swansea,Southampton,2,1,1,2,1,0,0,0
Man United,Hull,0,0,0,1,0,0,0,0
Stoke,Everton,1,1,0,1,0,0,0,0
West Ham,Man City,0,4,-4,0,0,0,0,0
Chelsea,Arsenal,3,1,2,2,1,0,0,0
Crystal Palace,Sunderland,0,4,-4,0,0,0,0,0
Everton,Bournemouth,6,3,3,2,1,0,0,0
Hull,Liverpool,2,0,2,2,2,0,0,0
Southampton,West Ham,1,3,-2,0,0,0,0,0
Tottenham,Middlesbrough,1,0,1,2,1,0,0,0
Watford,Burnley,2,1,1,2,2,0,0,0
West Brom,Stoke,1,0,1,2,3,0,1,0
Leicester,Man United,0,3,-3,0,0,0,0,0
Man City,Swansea,2,1,1,2,1,0,0,0
Arsenal,Hull,2,0,2,2,2,0,0,0
Liverpool,Tottenham,2,0,2,2,3,0,1,0
Man United,Watford,2,0,2,2,4,0,1,0
Middlesbrough,Everton,0,0,0,1,0,0,0,0
Stoke,Crystal Palace,1,0,1,2,1,0,0,0
Sunderland,Southampton,0,4,-4,0,0,0,0,0
West Ham,West Brom,2,2,0,1,0,0,0,0
Burnley,Chelsea,1,1,0,1,0,0,0,0
Swansea,Leicester,2,0,2,2,1,0,0,0
Bournemouth,Man City,0,2,-2,0,0,0,0,0
Chelsea,Swansea,3,1,2,2,1,0,0,0
Crystal Palace,Middlesbrough,1,0,1,2,2,0,0,0
Everton,Sunderland,2,0,2,2,3,0,1,0
Hull,Burnley,1,1,0,1,0,0,0,0
Watford,West Ham,1,1,0,1,0,0,0,0
West Brom,Bournemouth,2,1,1,2,1,0,0,0
Tottenham,Stoke,4,0,4,2,2,0,0,0
Leicester,Liverpool,3,1,2,2,3,0,1,0
Leicester,Hull,3,1,2,2,4,0,1,0
Liverpool,Arsenal,3,1,2,2,5,0,1,0
Man United,Bournemouth,1,1,0,1,0,0,0,0
Stoke,Middlesbrough,2,0,2,2,1,0,0,0
Swansea,Burnley,3,2,1,2,2,0,0,0
Watford,Southampton,3,4,-1,0,0,0,0,0
West Brom,Crystal Palace,0,2,-2,0,0,0,0,0
Sunderland,Man City,0,2,-2,0,0,0,0,0
Tottenham,Everton,3,2,1,2,1,0,0,0
West Ham,Chelsea,1,2,-1,0,0,0,0,0
Man City,Stoke,0,0,0,1,0,0,0,0
Bournemouth,West Ham,3,2,1,2,1,0,0,0
Everton,West Brom,3,0,3,2,2,0,0,0
Hull,Swansea,2,1,1,2,3,0,1,0
Liverpool,Burnley,2,1,1,2,4,0,1,0
Bournemouth,Swansea,2,0,2,2,5,0,1,0
Crystal Palace,Watford,1,0,1,2,6,0,1,0
Everton,Hull,4,0,4,2,7,0,1,0
Stoke,Chelsea,1,2,-1,0,0,0,0,0
Sunderland,Burnley,0,0,0,1,0,0,0,0
West Brom,Arsenal,3,1,2,2,1,0,0,0
West Ham,Leicester,2,3,-1,0,0,0,0,0
Man City,Liverpool,1,1,0,1,0,0,0,0
Middlesbrough,Man United,1,3,-2,0,0,0,0,0
Tottenham,Southampton,2,1,1,2,1,0,0,0
Burnley,Tottenham,0,2,-2,0,0,0,0,0
Chelsea,Crystal Palace,1,2,-1,0,0,0,0,0
Hull,West Ham,2,1,1,2,1,0,0,0
Leicester,Stoke,2,0,2,2,2,0,0,0
Liverpool,Everton,3,1,2,2,3,0,1,0
Man United,West Brom,0,0,0,1,0,0,0,0
Southampton,Bournemouth,0,0,0,1,0,0,0,0
Watford,Sunderland,1,0,1,2,1,0,0,0
Arsenal,Man City,2,2,0,1,0,0,0,0
Swansea,Middlesbrough,0,0,0,1,0,0,0,0
Burnley,Stoke,1,0,1,2,1,0,0,0
Leicester,Sunderland,2,0,2,2,2,0,0,0
Man United,Everton,1,1,0,1,0,0,0,0
Watford,West Brom,2,0,2,2,1,0,0,0
Arsenal,West Ham,3,0,3,2,2,0,0,0
Chelsea,Man City,2,1,1,2,3,0,1,0
Hull,Middlesbrough,4,2,2,2,4,0,1,0
Liverpool,Bournemouth,2,2,0,1,0,0,0,0
Southampton,Crystal Palace,3,1,2,2,1,0,0,0
Swansea,Tottenham,1,3,-2,0,0,0,0,0
Bournemouth,Chelsea,1,3,-2,0,0,0,0,0
Man City,Hull,3,1,2,2,1,0,0,0
Middlesbrough,Burnley,0,0,0,1,0,0,0,0
Stoke,Liverpool,1,2,-1,0,0,0,0,0
Tottenham,Watford,4,0,4,2,1,0,0,0
West Brom,Southampton,0,1,-1,0,0,0,0,0
West Ham,Swansea,1,0,1,2,1,0,0,0
Everton,Leicester,4,2,2,2,2,0,0,0
Sunderland,Man United,0,3,-3,0,0,0,0,0
Crystal Palace,Arsenal,3,0,3,2,1,0,0,0
Crystal Palace,Leicester,2,2,0,1,0,0,0,0
Everton,Burnley,3,1,2,2,1,0,0,0
Southampton,Man City,0,3,-3,0,0,0,0,0
Stoke,Hull,3,1,2,2,1,0,0,0
Sunderland,West Ham,2,2,0,1,0,0,0,0
Tottenham,Bournemouth,4,0,4,2,1,0,0,0
Watford,Swansea,1,0,1,2,2,0,0,0
Man United,Chelsea,2,0,2,2,3,0,1,0
West Brom,Liverpool,0,1,-1,0,0,0,0,0
Middlesbrough,Arsenal,1,2,-1,0,0,0,0,0
Bournemouth,Middlesbrough,4,0,4,2,1,0,0,0
Hull,Watford,2,0,2,2,2,0,0,0
Swansea,Stoke,2,0,2,2,3,0,1,0
West Ham,Everton,0,0,0,1,0,0,0,0
Burnley,Man United,0,2,-2,0,0,0,0,0
Liverpool,Crystal Palace,1,2,-1,0,0,0,0,0
Chelsea,Southampton,4,2,2,2,1,0,0,0
Arsenal,Leicester,1,0,1,2,2,0,0,0
Crystal Palace,Tottenham,0,1,-1,0,0,0,0,0
Middlesbrough,Sunderland,1,0,1,2,1,0,0,0
Man City,Man United,0,0,0,1,0,0,0,0
Crystal Palace,Burnley,0,2,-2,0,0,0,0,0
Southampton,Hull,0,0,0,1,0,0,0,0
Stoke,West Ham,0,0,0,1,0,0,0,0
Sunderland,Bournemouth,0,1,-1,0,0,0,0,0
West Brom,Leicester,0,1,-1,0,0,0,0,0
Everton,Chelsea,0,3,-3,0,0,0,0,0
Man United,Swansea,1,1,0,1,0,0,0,0
Middlesbrough,Man City,2,2,0,1,0,0,0,0
Tottenham,Arsenal,2,0,2,2,1,0,0,0
Watford,Liverpool,0,1,-1,0,0,0,0,0
West Ham,Tottenham,1,0,1,2,1,0,0,0
Bournemouth,Stoke,2,2,0,1,0,0,0,0
Burnley,West Brom,2,2,0,1,0,0,0,0
Hull,Sunderland,0,2,-2,0,0,0,0,0
Leicester,Watford,3,0,3,2,1,0,0,0
Man City,Crystal Palace,5,0,5,2,2,0,0,0
Swansea,Everton,1,0,1,2,3,0,1,0
Arsenal,Man United,2,0,2,2,4,0,1,0
Liverpool,Southampton,0,0,0,1,0,0,0,0
Chelsea,Middlesbrough,3,0,3,2,1,0,0,0
Southampton,Arsenal,0,2,-2,0,0,0,0,0
Everton,Watford,1,0,1,2,1,0,0,0
West Brom,Chelsea,0,1,-1,0,0,0,0,0
Bournemouth,Burnley,2,1,1,2,1,0,0,0
Man City,Leicester,2,1,1,2,2,0,0,0
Middlesbrough,Southampton,1,2,-1,0,0,0,0,0
Stoke,Arsenal,1,4,-3,0,0,0,0,0
Sunderland,Swansea,0,2,-2,0,0,0,0,0
Crystal Palace,Hull,4,0,4,2,1,0,0,0
Tottenham,Man United,2,1,1,2,2,0,0,0
West Ham,Liverpool,0,4,-4,0,0,0,0,0
Chelsea,Watford,4,3,1,2,1,0,0,0
Arsenal,Sunderland,2,0,2,2,2,0,0,0
Man City,West Brom,3,1,2,2,3,0,1,0
Southampton,Man United,0,0,0,1,0,0,0,0
Leicester,Tottenham,1,6,-5,0,0,0,0,0
Arsenal,Everton,3,1,2,2,1,0,0,0
Burnley,West Ham,1,2,-1,0,0,0,0,0
Chelsea,Sunderland,5,1,4,2,1,0,0,0
Hull,Tottenham,1,7,-6,0,0,0,0,0
Leicester,Bournemouth,1,1,0,1,0,0,0,0
Liverpool,Middlesbrough,3,0,3,2,1,0,0,0
Man United,Crystal Palace,2,0,2,2,2,0,0,0
Southampton,Stoke,0,1,-1,0,0,0,0,0
Swansea,West Brom,2,1,1,2,1,0,0,0
Watford,Man City,0,5,-5,0,0,0,0,0
Arsenal,Leicester,4,3,1,2,1,0,0,0
Brighton,Man City,0,2,-2,0,0,0,0,0
Chelsea,Burnley,2,3,-1,0,0,0,0,0
Crystal Palace,Huddersfield,0,3,-3,0,0,0,0,0
Everton,Stoke,1,0,1,2,1,0,0,0
Southampton,Swansea,0,0,0,1,0,0,0,0
Watford,Liverpool,3,3,0,1,0,0,0,0
West Brom,Bournemouth,1,0,1,2,1,0,0,0
Man United,West Ham,4,0,4,2,2,0,0,0
Newcastle,Tottenham,0,2,-2,0,0,0,0,0
Bournemouth,Watford,0,2,-2,0,0,0,0,0
Burnley,West Brom,0,1,-1,0,0,0,0,0
Leicester,Brighton,2,0,2,2,1,0,0,0
Liverpool,Crystal Palace,1,0,1,2,2,0,0,0
Southampton,West Ham,3,2,1,2,3,0,1,0
Stoke,Arsenal,1,0,1,2,4,0,1,0
Swansea,Man United,0,4,-4,0,0,0,0,0
Huddersfield,Newcastle,1,0,1,2,1,0,0,0
Tottenham,Chelsea,1,2,-1,0,0,0,0,0
Man City,Everton,1,1,0,1,0,0,0,0
Bournemouth,Man City,1,2,-1,0,0,0,0,0
Crystal Palace,Swansea,0,2,-2,0,0,0,0,0
Huddersfield,Southampton,0,0,0,1,0,0,0,0
Man United,Leicester,2,0,2,2,1,0,0,0
Newcastle,West Ham,3,0,3,2,2,0,0,0
Watford,Brighton,0,0,0,1,0,0,0,0
Chelsea,Everton,2,0,2,2,1,0,0,0
Liverpool,Arsenal,4,0,4,2,2,0,0,0
Tottenham,Burnley,1,1,0,1,0,0,0,0
West Brom,Stoke,1,1,0,1,0,0,0,0
Arsenal,Bournemouth,3,0,3,2,1,0,0,0
Brighton,West Brom,3,1,2,2,2,0,0,0
Everton,Tottenham,0,3,-3,0,0,0,0,0
Leicester,Chelsea,1,2,-1,0,0,0,0,0
Man City,Liverpool,5,0,5,2,1,0,0,0
Southampton,Watford,0,2,-2,0,0,0,0,0
Stoke,Man United,2,2,0,1,0,0,0,0
Burnley,Crystal Palace,1,0,1,2,1,0,0,0
Swansea,Newcastle,0,1,-1,0,0,0,0,0
West Ham,Huddersfield,2,0,2,2,1,0,0,0
Bournemouth,Brighton,2,1,1,2,2,0,0,0
Crystal Palace,Southampton,0,1,-1,0,0,0,0,0
Huddersfield,Leicester,1,1,0,1,0,0,0,0
Liverpool,Burnley,1,1,0,1,0,0,0,0
Newcastle,Stoke,2,1,1,2,1,0,0,0
Tottenham,Swansea,0,0,0,1,0,0,0,0
Watford,Man City,0,6,-6,0,0,0,0,0
West Brom,West Ham,0,0,0,1,0,0,0,0
Chelsea,Arsenal,0,0,0,1,0,0,0,0
Man United,Everton,4,0,4,2,1,0,0,0
Burnley,Huddersfield,0,0,0,1,0,0,0,0
Everton,Bournemouth,2,1,1,2,1,0,0,0
Leicester,Liverpool,2,3,-1,0,0,0,0,0
Man City,Crystal Palace,5,0,5,2,1,0,0,0
Southampton,Man United,0,1,-1,0,0,0,0,0
Stoke,Chelsea,0,4,-4,0,0,0,0,0
Swansea,Watford,1,2,-1,0,0,0,0,0
West Ham,Tottenham,2,3,-1,0,0,0,0,0
Brighton,Newcastle,1,0,1,2,1,0,0,0
Arsenal,West Brom,2,0,2,2,2,0,0,0
Bournemouth,Leicester,0,0,0,1,0,0,0,0
Chelsea,Man City,0,1,-1,0,0,0,0,0
Huddersfield,Tottenham,0,4,-4,0,0,0,0,0
Man United,Crystal Palace,4,0,4,2,1,0,0,0
Stoke,Southampton,2,1,1,2,2,0,0,0
West Brom,Watford,2,2,0,1,0,0,0,0
West Ham,Swansea,1,0,1,2,1,0,0,0
Arsenal,Brighton,2,0,2,2,2,0,0,0
Everton,Burnley,0,1,-1,0,0,0,0,0
Newcastle,Liverpool,1,1,0,1,0,0,0,0
Burnley,West Ham,1,1,0,1,0,0,0,0
Crystal Palace,Chelsea,2,1,1,2,1,0,0,0
Liverpool,Man United,0,0,0,1,0,0,0,0
Man City,Stoke,7,2,5,2,1,0,0,0
Swansea,Huddersfield,2,0,2,2,2,0,0,0
Tottenham,Bournemouth,1,0,1,2,3,0,1,0
Watford,Arsenal,2,1,1,2,4,0,1,0
Brighton,Everton,1,1,0,1,0,0,0,0
Southampton,Newcastle,2,2,0,1,0,0,0,0
Leicester,West Brom,1,1,0,1,0,0,0,0
West Ham,Brighton,0,3,-3,0,0,0,0,0
Chelsea,Watford,4,2,2,2,1,0,0,0
Huddersfield,Man United,2,1,1,2,2,0,0,0
Man City,Burnley,3,0,3,2,3,0,1,0
Newcastle,Crystal Palace,1,0,1,2,4,0,1,0
Southampton,West Brom,1,0,1,2,5,0,1,0
Stoke,Bournemouth,1,2,-1,0,0,0,0,0
Swansea,Leicester,1,2,-1,0,0,0,0,0
Everton,Arsenal,2,5,-3,0,0,0,0,0
Tottenham,Liverpool,4,1,3,2,1,0,0,0
Arsenal,Swansea,2,1,1,2,2,0,0,0
Bournemouth,Chelsea,0,1,-1,0,0,0,0,0
Crystal Palace,West Ham,2,2,0,1,0,0,0,0
Liverpool,Huddersfield,3,0,3,2,1,0,0,0
Man United,Tottenham,1,0,1,2,2,0,0,0
Watford,Stoke,0,1,-1,0,0,0,0,0
West Brom,Man City,2,3,-1,0,0,0,0,0
