HomeTeam,AwayTeam,FTHG,FTAG,ScoreDiff,Results,HomeWinStreak,AwayWinStreak,TGSH,TGSA
Brighton,Southampton,1,1,0,1,0,0,0,0
Leicester,Everton,2,0,2,2,1,0,0,0
Burnley,Newcastle,1,0,1,2,2,0,0,0
Huddersfield,West Brom,1,0,1,2,3,0,1,0
Newcastle,Bournemouth,0,1,-1,0,0,0,0,0
Southampton,Burnley,0,1,-1,0,0,0,0,0
Stoke,Leicester,2,2,0,1,0,0,0,0
Swansea,Brighton,0,1,-1,0,0,0,0,0
West Ham,Liverpool,1,4,-3,0,0,0,0,0
Chelsea,Man United,1,0,1,2,1,0,0,0
Everton,Watford,3,2,1,2,2,0,0,0
Man City,Arsenal,3,1,2,2,3,0,1,0
Tottenham,Crystal Palace,1,0,1,2,4,0,1,0
Arsenal,Tottenham,2,0,2,2,5,0,1,0
Bournemouth,Huddersfield,4,0,4,2,6,0,1,0
Burnley,Swansea,2,0,2,2,7,0,1,0
Crystal Palace,Everton,2,2,0,1,0,0,0,0
Leicester,Man City,0,2,-2,0,0,0,0,0
Liverpool,Southampton,3,0,3,2,1,0,0,0
Man United,Newcastle,4,1,3,2,2,0,0,0
West Brom,Chelsea,0,4,-4,0,0,0,0,0
Watford,West Ham,2,0,2,2,1,0,0,0
Brighton,Stoke,2,2,0,1,0,0,0,0
West Ham,Leicester,1,1,0,1,0,0,0,0
Crystal Palace,Stoke,2,1,1,2,1,0,0,0
Liverpool,Chelsea,1,1,0,1,0,0,0,0
Man United,Brighton,1,0,1,2,1,0,0,0
Newcastle,Watford,0,3,-3,0,0,0,0,0
Swansea,Bournemouth,0,0,0,1,0,0,0,0
Tottenham,West Brom,1,1,0,1,0,0,0,0
Burnley,Arsenal,0,1,-1,0,0,0,0,0
Huddersfield,Man City,1,2,-1,0,0,0,0,0
Southampton,Everton,4,1,3,2,1,0,0,0
Brighton,Crystal Palace,0,0,0,1,0,0,0,0
Leicester,Tottenham,2,1,1,2,1,0,0,0
Watford,Man United,2,4,-2,0,0,0,0,0
West Brom,Newcastle,2,2,0,1,0,0,0,0
Arsenal,Huddersfield,5,0,5,2,1,0,0,0
Bournemouth,Burnley,1,2,-1,0,0,0,0,0
Chelsea,Swansea,1,0,1,2,1,0,0,0
Everton,West Ham,4,0,4,2,2,0,0,0
Man City,Southampton,2,1,1,2,3,0,1,0
Stoke,Liverpool,0,3,-3,0,0,0,0,0
Arsenal,Man United,1,3,-2,0,0,0,0,0
Brighton,Liverpool,1,5,-4,0,0,0,0,0
Chelsea,Newcastle,3,1,2,2,1,0,0,0
Everton,Huddersfield,2,0,2,2,2,0,0,0
Leicester,Burnley,1,0,1,2,3,0,1,0
Stoke,Swansea,2,1,1,2,4,0,1,0
Watford,Tottenham,1,1,0,1,0,0,0,0
West Brom,Crystal Palace,0,0,0,1,0,0,0,0
Bournemouth,Southampton,1,1,0,1,0,0,0,0
Man City,West Ham,2,1,1,2,1,0,0,0
Burnley,Watford,1,0,1,2,2,0,0,0
Crystal Palace,Bournemouth,2,2,0,1,0,0,0,0
Huddersfield,Brighton,2,0,2,2,1,0,0,0
Newcastle,Leicester,2,3,-1,0,0,0,0,0
Swansea,West Brom,1,0,1,2,1,0,0,0
Tottenham,Stoke,5,1,4,2,2,0,0,0
West Ham,Chelsea,1,0,1,2,3,0,1,0
Liverpool,Everton,1,1,0,1,0,0,0,0
Man United,Man City,1,2,-1,0,0,0,0,0
Southampton,Arsenal,1,1,0,1,0,0,0,0
Burnley,Stoke,1,0,1,2,1,0,0,0
Crystal Palace,Watford,2,1,1,2,2,0,0,0
Huddersfield,Chelsea,1,3,-2,0,0,0,0,0
Liverpool,West Brom,0,0,0,1,0,0,0,0
Man United,Bournemouth,1,0,1,2,1,0,0,0
Newcastle,Everton,0,1,-1,0,0,0,0,0
Southampton,Leicester,1,4,-3,0,0,0,0,0
Swansea,Man City,0,4,-4,0,0,0,0,0
Tottenham,Brighton,2,0,2,2,1,0,0,0
West Ham,Arsenal,0,0,0,1,0,0,0,0
Arsenal,Newcastle,1,0,1,2,1,0,0,0
Brighton,Burnley,0,0,0,1,0,0,0,0
Chelsea,Southampton,1,0,1,2,1,0,0,0
Leicester,Crystal Palace,0,3,-3,0,0,0,0,0
Man City,Tottenham,4,1,3,2,1,0,0,0
Stoke,West Ham,0,3,-3,0,0,0,0,0
Watford,Huddersfield,1,4,-3,0,0,0,0,0
Bournemouth,Liverpool,0,4,-4,0,0,0,0,0
West Brom,Man United,1,2,-1,0,0,0,0,0
Everton,Swansea,3,1,2,2,1,0,0,0
Arsenal,Liverpool,3,3,0,1,0,0,0,0
Brighton,Watford,1,0,1,2,1,0,0,0
Burnley,Tottenham,0,3,-3,0,0,0,0,0
Everton,Chelsea,0,0,0,1,0,0,0,0
Leicester,Man United,2,2,0,1,0,0,0,0
Man City,Bournemouth,4,0,4,2,1,0,0,0
Southampton,Huddersfield,1,1,0,1,0,0,0,0
Stoke,West Brom,3,1,2,2,1,0,0,0
Swansea,Crystal Palace,1,1,0,1,0,0,0,0
West Ham,Newcastle,2,3,-1,0,0,0,0,0
Bournemouth,West Ham,3,3,0,1,0,0,0,0
Chelsea,Brighton,2,0,2,2,1,0,0,0
Huddersfield,Stoke,1,1,0,1,0,0,0,0
Liverpool,Swansea,5,0,5,2,1,0,0,0
Man United,Burnley,2,2,0,1,0,0,0,0
Tottenham,Southampton,5,2,3,2,1,0,0,0
Watford,Leicester,2,1,1,2,2,0,0,0
West Brom,Everton,0,0,0,1,0,0,0,0
Newcastle,Man City,0,1,-1,0,0,0,0,0
Crystal Palace,Arsenal,2,3,-1,0,0,0,0,0
Bournemouth,Everton,2,1,1,2,1,0,0,0
Chelsea,Stoke,5,0,5,2,2,0,0,0
Huddersfield,Burnley,0,0,0,1,0,0,0,0
Liverpool,Leicester,2,1,1,2,1,0,0,0
Man United,Southampton,0,0,0,1,0,0,0,0
Newcastle,Brighton,0,0,0,1,0,0,0,0
Watford,Swansea,1,2,-1,0,0,0,0,0
Crystal Palace,Man City,0,0,0,1,0,0,0,0
West Brom,Arsenal,1,1,0,1,0,0,0,0
Brighton,Bournemouth,2,2,0,1,0,0,0,0
Burnley,Liverpool,1,2,-1,0,0,0,0,0
Everton,Man United,0,2,-2,0,0,0,0,0
Leicester,Huddersfield,3,0,3,2,1,0,0,0
Stoke,Newcastle,0,1,-1,0,0,0,0,0
Man City,Watford,3,1,2,2,1,0,0,0
Southampton,Crystal Palace,1,2,-1,0,0,0,0,0
Swansea,Tottenham,0,2,-2,0,0,0,0,0
West Ham,West Brom,2,1,1,2,1,0,0,0
Arsenal,Chelsea,2,2,0,1,0,0,0,0
Tottenham,West Ham,1,1,0,1,0,0,0,0
Chelsea,Leicester,0,0,0,1,0,0,0,0
Crystal Palace,Burnley,1,0,1,2,1,0,0,0
Huddersfield,West Ham,1,4,-3,0,0,0,0,0
Newcastle,Swansea,1,1,0,1,0,0,0,0
Tottenham,Everton,4,0,4,2,1,0,0,0
Watford,Southampton,2,2,0,1,0,0,0,0
West Brom,Brighton,2,0,2,2,1,0,0,0
Bournemouth,Arsenal,2,1,1,2,2,0,0,0
Liverpool,Man City,4,3,1,2,3,0,1,0
Man United,Stoke,3,0,3,2,4,0,1,0
Arsenal,Crystal Palace,4,1,3,2,5,0,1,0
Brighton,Chelsea,0,4,-4,0,0,0,0,0
Burnley,Man United,0,1,-1,0,0,0,0,0
Everton,West Brom,1,1,0,1,0,0,0,0
Leicester,Watford,2,0,2,2,1,0,0,0
Man City,Newcastle,3,1,2,2,2,0,0,0
Stoke,Huddersfield,2,0,2,2,3,0,1,0
West Ham,Bournemouth,1,1,0,1,0,0,0,0
Southampton,Tottenham,1,1,0,1,0,0,0,0
Swansea,Liverpool,1,0,1,2,1,0,0,0
Huddersfield,Liverpool,0,3,-3,0,0,0,0,0
Swansea,Arsenal,3,1,2,2,1,0,0,0
West Ham,Crystal Palace,1,1,0,1,0,0,0,0
Chelsea,Bournemouth,0,3,-3,0,0,0,0,0
Everton,Leicester,2,1,1,2,1,0,0,0
Man City,West Brom,3,0,3,2,2,0,0,0
Newcastle,Burnley,1,1,0,1,0,0,0,0
Southampton,Brighton,1,1,0,1,0,0,0,0
Stoke,Watford,0,0,0,1,0,0,0,0
Tottenham,Man United,2,0,2,2,1,0,0,0
Arsenal,Everton,5,1,4,2,2,0,0,0
Bournemouth,Stoke,2,1,1,2,3,0,1,0
Brighton,West Ham,3,1,2,2,4,0,1,0
Burnley,Man City,1,1,0,1,0,0,0,0
Leicester,Swansea,1,1,0,1,0,0,0,0
Man United,Huddersfield,2,0,2,2,1,0,0,0
West Brom,Southampton,2,3,-1,0,0,0,0,0
Crystal Palace,Newcastle,1,1,0,1,0,0,0,0
Liverpool,Tottenham,2,2,0,1,0,0,0,0
Watford,Chelsea,4,1,3,2,1,0,0,0
Everton,Crystal Palace,3,1,2,2,2,0,0,0
Man City,Leicester,5,1,4,2,3,0,1,0
Stoke,Brighton,1,1,0,1,0,0,0,0
Swansea,Burnley,1,0,1,2,1,0,0,0
Tottenham,Arsenal,1,0,1,2,2,0,0,0
West Ham,Watford,2,0,2,2,3,0,1,0
Huddersfield,Bournemouth,4,1,3,2,4,0,1,0
Newcastle,Man United,1,0,1,2,5,0,1,0
Southampton,Liverpool,0,2,-2,0,0,0,0,0
Chelsea,West Brom,3,0,3,2,1,0,0,0
Bournemouth,Newcastle,2,2,0,1,0,0,0,0
Brighton,Swansea,4,1,3,2,1,0,0,0
Burnley,Southampton,1,1,0,1,0,0,0,0
Leicester,Stoke,1,1,0,1,0,0,0,0
Liverpool,West Ham,4,1,3,2,1,0,0,0
Watford,Everton,1,0,1,2,2,0,0,0
West Brom,Huddersfield,1,2,-1,0,0,0,0,0
Crystal Palace,Tottenham,0,1,-1,0,0,0,0,0
Man United,Chelsea,2,1,1,2,1,0,0,0
Arsenal,Man City,0,3,-3,0,0,0,0,0
Burnley,Everton,2,1,1,2,1,0,0,0
Leicester,Bournemouth,1,1,0,1,0,0,0,0
Liverpool,Newcastle,2,0,2,2,1,0,0,0
Southampton,Stoke,0,0,0,1,0,0,0,0
Swansea,West Ham,4,1,3,2,1,0,0,0
Tottenham,Huddersfield,2,0,2,2,2,0,0,0
Watford,West Brom,1,0,1,2,3,0,1,0
Brighton,Arsenal,2,1,1,2,4,0,1,0
Man City,Chelsea,1,0,1,2,5,0,1,0
Crystal Palace,Man United,2,3,-1,0,0,0,0,0
Chelsea,Crystal Palace,2,1,1,2,1,0,0,0
Everton,Brighton,2,0,2,2,2,0,0,0
Huddersfield,Swansea,0,0,0,1,0,0,0,0
Man United,Liverpool,2,1,1,2,1,0,0,0
Newcastle,Southampton,3,0,3,2,2,0,0,0
West Brom,Leicester,1,4,-3,0,0,0,0,0
West Ham,Burnley,0,3,-3,0,0,0,0,0
Arsenal,Watford,3,0,3,2,1,0,0,0
Bournemouth,Tottenham,1,4,-3,0,0,0,0,0
Stoke,Man City,0,2,-2,0,0,0,0,0
Bournemouth,West Brom,2,1,1,2,1,0,0,0
Huddersfield,Crystal Palace,0,2,-2,0,0,0,0,0
Liverpool,Watford,5,0,5,2,1,0,0,0
Stoke,Everton,1,2,-1,0,0,0,0,0
Brighton,Leicester,0,2,-2,0,0,0,0,0
Crystal Palace,Liverpool,1,2,-1,0,0,0,0,0
Everton,Man City,1,3,-2,0,0,0,0,0
Man United,Swansea,2,0,2,2,1,0,0,0
Newcastle,Huddersfield,1,0,1,2,2,0,0,0
Watford,Bournemouth,2,2,0,1,0,0,0,0
West Brom,Burnley,1,2,-1,0,0,0,0,0
West Ham,Southampton,3,0,3,2,1,0,0,0
Arsenal,Stoke,3,0,3,2,2,0,0,0
Chelsea,Tottenham,1,3,-2,0,0,0,0,0
Bournemouth,Crystal Palace,2,2,0,1,0,0,0,0
Brighton,Huddersfield,1,1,0,1,0,0,0,0
Everton,Liverpool,0,0,0,1,0,0,0,0
Leicester,Newcastle,1,2,-1,0,0,0,0,0
Man City,Man United,2,3,-1,0,0,0,0,0
Stoke,Tottenham,1,2,-1,0,0,0,0,0
Watford,Burnley,1,2,-1,0,0,0,0,0
West Brom,Swansea,1,1,0,1,0,0,0,0
Arsenal,Southampton,3,2,1,2,1,0,0,0
Chelsea,West Ham,1,1,0,1,0,0,0,0
Burnley,Leicester,2,1,1,2,1,0,0,0
Crystal Palace,Brighton,3,2,1,2,2,0,0,0
Huddersfield,Watford,1,0,1,2,3,0,1,0
Liverpool,Bournemouth,3,0,3,2,4,0,1,0
Southampton,Chelsea,2,3,-1,0,0,0,0,0
Swansea,Everton,1,1,0,1,0,0,0,0
Tottenham,Man City,1,3,-2,0,0,0,0,0
Man United,West Brom,0,1,-1,0,0,0,0,0
Newcastle,Arsenal,2,1,1,2,1,0,0,0
West Ham,Stoke,1,1,0,1,0,0,0,0
Brighton,Tottenham,1,1,0,1,0,0,0,0
Bournemouth,Man United,0,2,-2,0,0,0,0,0
Burnley,Chelsea,1,2,-1,0,0,0,0,0
Leicester,Southampton,0,0,0,1,0,0,0,0
Watford,Crystal Palace,0,0,0,1,0,0,0,0
West Brom,Liverpool,2,2,0,1,0,0,0,0
Arsenal,West Ham,4,1,3,2,1,0,0,0
Man City,Swansea,5,0,5,2,2,0,0,0
Stoke,Burnley,1,1,0,1,0,0,0,0
Everton,Newcastle,1,0,1,2,1,0,0,0
Burnley,Brighton,0,0,0,1,0,0,0,0
Crystal Palace,Leicester,5,0,5,2,1,0,0,0
Huddersfield,Everton,0,2,-2,0,0,0,0,0
Liverpool,Stoke,0,0,0,1,0,0,0,0
Newcastle,West Brom,0,1,-1,0,0,0,0,0
Southampton,Bournemouth,2,1,1,2,1,0,0,0
Swansea,Chelsea,0,1,-1,0,0,0,0,0
Man United,Arsenal,2,1,1,2,1,0,0,0
West Ham,Man City,1,4,-3,0,0,0,0,0
Tottenham,Watford,2,0,2,2,1,0,0,0
Brighton,Man United,1,0,1,2,2,0,0,0
Bournemouth,Swansea,1,0,1,2,3,0,1,0
Everton,Southampton,1,1,0,1,0,0,0,0
Leicester,West Ham,0,2,-2,0,0,0,0,0
Stoke,Crystal Palace,1,2,-1,0,0,0,0,0
Watford,Newcastle,2,1,1,2,1,0,0,0
West Brom,Tottenham,1,0,1,2,2,0,0,0
Arsenal,Burnley,5,0,5,2,3,0,1,0
Chelsea,Liverpool,1,0,1,2,4,0,1,0
Man City,Huddersfield,0,0,0,1,0,0,0,0
Swansea,Southampton,0,1,-1,0,0,0,0,0
Chelsea,Huddersfield,1,1,0,1,0,0,0,0
Leicester,Arsenal,3,1,2,2,1,0,0,0
Man City,Brighton,3,1,2,2,2,0,0,0
Tottenham,Newcastle,1,0,1,2,3,0,1,0
West Ham,Man United,0,0,0,1,0,0,0,0
Burnley,Bournemouth,1,2,-1,0,0,0,0,0
Crystal Palace,West Brom,2,0,2,2,1,0,0,0
Huddersfield,Arsenal,0,1,-1,0,0,0,0,0
Liverpool,Brighton,4,0,4,2,1,0,0,0
Man United,Watford,1,0,1,2,2,0,0,0
Newcastle,Chelsea,3,0,3,2,3,0,1,0
Southampton,Man City,0,1,-1,0,0,0,0,0
Swansea,Stoke,1,2,-1,0,0,0,0,0
Tottenham,Leicester,5,4,1,2,1,0,0,0
West Ham,Everton,3,1,2,2,2,0,0,0
Man United,Leicester,2,1,1,2,3,0,1,0
Bournemouth,Cardiff,2,0,2,2,4,0,1,0
Fulham,Crystal Palace,0,2,-2,0,0,0,0,0
Huddersfield,Chelsea,0,3,-3,0,0,0,0,0
Newcastle,Tottenham,1,2,-1,0,0,0,0,0
Watford,Brighton,2,0,2,2,1,0,0,0
Wolves,Everton,2,2,0,1,0,0,0,0
Arsenal,Man City,0,2,-2,0,0,0,0,0
Liverpool,West Ham,4,0,4,2,1,0,0,0
Southampton,Burnley,0,0,0,1,0,0,0,0
Cardiff,Newcastle,0,0,0,1,0,0,0,0
Chelsea,Arsenal,3,2,1,2,1,0,0,0
Everton,Southampton,2,1,1,2,2,0,0,0
Leicester,Wolves,2,0,2,2,3,0,1,0
Tottenham,Fulham,3,1,2,2,4,0,1,0
West Ham,Bournemouth,1,2,-1,0,0,0,0,0
Brighton,Man United,3,2,1,2,1,0,0,0
Burnley,Watford,1,3,-2,0,0,0,0,0
Man City,Huddersfield,6,1,5,2,1,0,0,0
Crystal Palace,Liverpool,0,2,-2,0,0,0,0,0
Arsenal,West Ham,3,1,2,2,1,0,0,0
Bournemouth,Everton,2,2,0,1,0,0,0,0
Huddersfield,Cardiff,0,0,0,1,0,0,0,0
Liverpool,Brighton,1,0,1,2,1,0,0,0
Southampton,Leicester,1,2,-1,0,0,0,0,0
Wolves,Man City,1,1,0,1,0,0,0,0
Fulham,Burnley,4,2,2,2,1,0,0,0
Newcastle,Chelsea,1,2,-1,0,0,0,0,0
Watford,Crystal Palace,2,1,1,2,1,0,0,0
Man United,Tottenham,0,3,-3,0,0,0,0,0
Brighton,Fulham,2,2,0,1,0,0,0,0
Chelsea,Bournemouth,2,0,2,2,1,0,0,0
Crystal Palace,Southampton,0,2,-2,0,0,0,0,0
Everton,Huddersfield,1,1,0,1,0,0,0,0
Leicester,Liverpool,1,2,-1,0,0,0,0,0
Man City,Newcastle,2,1,1,2,1,0,0,0
West Ham,Wolves,0,1,-1,0,0,0,0,0
Burnley,Man United,0,2,-2,0,0,0,0,0
Cardiff,Arsenal,2,3,-1,0,0,0,0,0
Watford,Tottenham,2,1,1,2,1,0,0,0
Bournemouth,Leicester,4,2,2,2,2,0,0,0
Chelsea,Cardiff,4,1,3,2,3,0,1,0
Huddersfield,Crystal Palace,0,1,-1,0,0,0,0,0
Man City,Fulham,3,0,3,2,1,0,0,0
Newcastle,Arsenal,1,2,-1,0,0,0,0,0
Tottenham,Liverpool,1,2,-1,0,0,0,0,0
Watford,Man United,1,2,-1,0,0,0,0,0
Everton,West Ham,1,3,-2,0,0,0,0,0
Wolves,Burnley,1,0,1,2,1,0,0,0
Southampton,Brighton,2,2,0,1,0,0,0,0
Brighton,Tottenham,1,2,-1,0,0,0,0,0
Burnley,Bournemouth,4,0,4,2,1,0,0,0
Cardiff,Man City,0,5,-5,0,0,0,0,0
Crystal Palace,Newcastle,0,0,0,1,0,0,0,0
Fulham,Watford,1,1,0,1,0,0,0,0
Leicester,Huddersfield,3,1,2,2,1,0,0,0
Liverpool,Southampton,3,0,3,2,2,0,0,0
Man United,Wolves,1,1,0,1,0,0,0,0
Arsenal,Everton,2,0,2,2,1,0,0,0
West Ham,Chelsea,0,0,0,1,0,0,0,0
Arsenal,Watford,2,0,2,2,1,0,0,0
Chelsea,Liverpool,1,1,0,1,0,0,0,0
Everton,Fulham,3,0,3,2,1,0,0,0
Huddersfield,Tottenham,0,2,-2,0,0,0,0,0
Man City,Brighton,2,0,2,2,1,0,0,0
Newcastle,Leicester,0,2,-2,0,0,0,0,0
West Ham,Man United,3,1,2,2,1,0,0,0
Wolves,Southampton,2,0,2,2,2,0,0,0
Cardiff,Burnley,1,2,-1,0,0,0,0,0
Bournemouth,Crystal Palace,2,1,1,2,1,0,0,0
Brighton,West Ham,1,0,1,2,2,0,0,0
Burnley,Huddersfield,1,1,0,1,0,0,0,0
Crystal Palace,Wolves,0,1,-1,0,0,0,0,0
Leicester,Everton,1,2,-1,0,0,0,0,0
Man United,Newcastle,3,2,1,2,1,0,0,0
Tottenham,Cardiff,1,0,1,2,2,0,0,0
Watford,Bournemouth,0,4,-4,0,0,0,0,0
Fulham,Arsenal,1,5,-4,0,0,0,0,0
Liverpool,Man City,0,0,0,1,0,0,0,0
Southampton,Chelsea,0,3,-3,0,0,0,0,0
Bournemouth,Southampton,0,0,0,1,0,0,0,0
Cardiff,Fulham,4,2,2,2,1,0,0,0
Chelsea,Man United,2,2,0,1,0,0,0,0
Huddersfield,Liverpool,0,1,-1,0,0,0,0,0
Man City,Burnley,5,0,5,2,1,0,0,0
Newcastle,Brighton,0,1,-1,0,0,0,0,0
West Ham,Tottenham,0,1,-1,0,0,0,0,0
Wolves,Watford,0,2,-2,0,0,0,0,0
Everton,Crystal Palace,2,0,2,2,1,0,0,0
Arsenal,Leicester,3,1,2,2,2,0,0,0
Brighton,Wolves,1,0,1,2,3,0,1,0
Fulham,Bournemouth,0,3,-3,0,0,0,0,0
Leicester,West Ham,1,1,0,1,0,0,0,0
Liverpool,Cardiff,4,1,3,2,1,0,0,0
Southampton,Newcastle,0,0,0,1,0,0,0,0
Watford,Huddersfield,3,0,3,2,1,0,0,0
Burnley,Chelsea,0,4,-4,0,0,0,0,0
Crystal Palace,Arsenal,2,2,0,1,0,0,0,0
Man United,Everton,2,1,1,2,1,0,0,0
Tottenham,Man City,0,1,-1,0,0,0,0,0
Arsenal,Liverpool,1,1,0,1,0,0,0,0
Bournemouth,Man United,1,2,-1,0,0,0,0,0
Cardiff,Leicester,0,1,-1,0,0,0,0,0
Everton,Brighton,3,1,2,2,1,0,0,0
Newcastle,Watford,1,0,1,2,2,0,0,0
West Ham,Burnley,4,2,2,2,3,0,1,0
Wolves,Tottenham,2,3,-1,0,0,0,0,0
Chelsea,Crystal Palace,3,1,2,2,1,0,0,0
Man City,Southampton,6,1,5,2,2,0,0,0
Huddersfield,Fulham,1,0,1,2,3,0,1,0
Cardiff,Brighton,2,1,1,2,4,0,1,0
Crystal Palace,Tottenham,0,1,-1,0,0,0,0,0
Huddersfield,West Ham,1,1,0,1,0,0,0,0
Leicester,Burnley,0,0,0,1,0,0,0,0
Newcastle,Bournemouth,2,1,1,2,1,0,0,0
Southampton,Watford,1,1,0,1,0,0,0,0
Arsenal,Wolves,1,1,0,1,0,0,0,0
Chelsea,Everton,0,0,0,1,0,0,0,0
Liverpool,Fulham,2,0,2,2,1,0,0,0
Man City,Man United,3,1,2,2,2,0,0,0
Brighton,Leicester,1,1,0,1,0,0,0,0
Everton,Cardiff,1,0,1,2,1,0,0,0
Fulham,Southampton,3,2,1,2,2,0,0,0
Man United,Crystal Palace,0,0,0,1,0,0,0,0
Tottenham,Chelsea,3,1,2,2,1,0,0,0
Watford,Liverpool,0,3,-3,0,0,0,0,0
West Ham,Man City,0,4,-4,0,0,0,0,0
Bournemouth,Arsenal,1,2,-1,0,0,0,0,0
Wolves,Huddersfield,0,2,-2,0,0,0,0,0
Burnley,Newcastle,1,2,-1,0,0,0,0,0
Cardiff,Wolves,2,1,1,2,1,0,0,0
Crystal Palace,Burnley,2,0,2,2,2,0,0,0
Huddersfield,Brighton,1,2,-1,0,0,0,0,0
Leicester,Watford,2,0,2,2,1,0,0,0
Man City,Bournemouth,3,1,2,2,2,0,0,0
Newcastle,West Ham,0,3,-3,0,0,0,0,0
Southampton,Man United,2,2,0,1,0,0,0,0
Arsenal,Tottenham,4,2,2,2,1,0,0,0
Chelsea,Fulham,2,0,2,2,2,0,0,0
Liverpool,Everton,1,0,1,2,3,0,1,0
Bournemouth,Huddersfield,2,1,1,2,4,0,1,0
Brighton,Crystal Palace,3,1,2,2,5,0,1,0
Watford,Man City,1,2,-1,0,0,0,0,0
West Ham,Cardiff,3,1,2,2,1,0,0,0
Burnley,Liverpool,1,3,-2,0,0,0,0,0
Everton,Newcastle,1,1,0,1,0,0,0,0
Fulham,Leicester,1,1,0,1,0,0,0,0
Man United,Arsenal,2,2,0,1,0,0,0,0
Tottenham,Southampton,3,1,2,2,1,0,0,0
Wolves,Chelsea,2,1,1,2,2,0,0,0
Arsenal,Huddersfield,1,0,1,2,3,0,1,0
Bournemouth,Liverpool,0,4,-4,0,0,0,0,0
Burnley,Brighton,1,0,1,2,1,0,0,0
Cardiff,Southampton,1,0,1,2,2,0,0,0
Chelsea,Man City,2,0,2,2,3,0,1,0
Leicester,Tottenham,0,2,-2,0,0,0,0,0
Man United,Fulham,4,1,3,2,1,0,0,0
West Ham,Crystal Palace,3,2,1,2,2,0,0,0
Newcastle,Wolves,1,2,-1,0,0,0,0,0
Everton,Watford,2,2,0,1,0,0,0,0
Crystal Palace,Leicester,1,0,1,2,1,0,0,0
Fulham,West Ham,0,2,-2,0,0,0,0,0
Huddersfield,Newcastle,0,1,-1,0,0,0,0,0
Man City,Everton,3,1,2,2,1,0,0,0
Tottenham,Burnley,1,0,1,2,2,0,0,0
Watford,Cardiff,3,2,1,2,3,0,1,0
Wolves,Bournemouth,2,0,2,2,4,0,1,0
Brighton,Chelsea,1,2,-1,0,0,0,0,0
Liverpool,Man United,3,1,2,2,1,0,0,0
Southampton,Arsenal,3,2,1,2,2,0,0,0
Wolves,Liverpool,0,2,-2,0,0,0,0,0
Arsenal,Burnley,3,1,2,2,1,0,0,0
Bournemouth,Brighton,2,0,2,2,2,0,0,0
Cardiff,Man United,1,5,-4,0,0,0,0,0
Chelsea,Leicester,0,1,-1,0,0,0,0,0
Huddersfield,Southampton,1,3,-2,0,0,0,0,0
Man City,Crystal Palace,2,3,-1,0,0,0,0,0
Newcastle,Fulham,0,0,0,1,0,0,0,0
West Ham,Watford,0,2,-2,0,0,0,0,0
Everton,Tottenham,2,6,-4,0,0,0,0,0
Brighton,Arsenal,1,1,0,1,0,0,0,0
Burnley,Everton,1,5,-4,0,0,0,0,0
Crystal Palace,Cardiff,0,0,0,1,0,0,0,0
Fulham,Wolves,1,1,0,1,0,0,0,0
Leicester,Man City,2,1,1,2,1,0,0,0
Liverpool,Newcastle,4,0,4,2,2,0,0,0
Man United,Huddersfield,3,1,2,2,3,0,1,0
Tottenham,Bournemouth,5,0,5,2,4,0,1,0
Watford,Chelsea,1,2,-1,0,0,0,0,0
Southampton,West Ham,1,2,-1,0,0,0,0,0
Brighton,Everton,1,0,1,2,1,0,0,0
Fulham,Huddersfield,1,0,1,2,2,0,0,0
Leicester,Cardiff,0,1,-1,0,0,0,0,0
Liverpool,Arsenal,5,1,4,2,1,0,0,0
Tottenham,Wolves,1,3,-2,0,0,0,0,0
