Opponent,HomeBool,FTHG,FTAG,ScoreDiff,WinStreak,TGS,Results,Referee,B365H,B365D,B365A,BWH,BWD,BWA
Swansea,1,1,2,-1,0,0,Loss,M Dean,1.36,5.0,11.0,1.4,4.75,9.0
Sunderland,0,1,1,0,0,0,Draw,M Atkinson,5.0,4.0,1.75,4.4,3.75,1.83
Burnley,0,0,0,0,0,0,Draw,C Foy,6.0,4.2,1.62,5.75,4.0,1.62
QPR,1,4,0,4,1,0,Win,P Dowd,1.29,6.25,12.0,1.33,5.0,11.5
Leicester,0,5,3,-2,0,0,Loss,M Clattenburg,5.5,4.2,1.67,4.75,3.8,1.67
West Ham,1,2,1,1,1,0,Win,L Mason,1.4,5.5,8.0,1.4,4.6,7.25
Everton,1,2,1,1,2,0,Win,K Friend,1.67,4.2,5.25,1.67,4.0,5.25
West Brom,0,2,2,0,0,0,Draw,M Dean,5.0,4.0,1.75,4.5,4.1,1.75
Chelsea,1,1,1,0,0,0,Draw,P Dowd,2.88,3.6,2.5,2.75,3.5,2.55
Man City,0,1,0,-1,0,0,Loss,M Oliver,1.91,3.75,4.33,1.91,3.75,4.0
Crystal Palace,1,1,0,1,1,0,Win,C Foy,1.3,6.0,11.0,1.32,5.5,7.6
Arsenal,0,1,2,1,2,0,Win,M Dean,2.15,3.6,3.5,2.2,3.25,3.2
Hull,1,3,0,3,3,1,Win,A Taylor,1.33,5.75,10.0,1.36,5.25,9.25
Stoke,1,2,1,1,4,1,Win,J Moss,1.45,4.5,8.5,1.44,4.25,7.25
Southampton,0,1,2,1,5,1,Win,K Friend,2.8,3.4,2.7,2.8,3.25,2.7
Liverpool,1,3,0,3,6,1,Win,M Atkinson,1.8,3.8,4.75,1.85,3.6,4.5
Aston Villa,0,1,1,0,0,0,Draw,L Mason,6.25,4.0,1.62,6.0,3.9,1.62
Newcastle,1,3,1,2,1,0,Win,M Jones,1.4,5.0,9.0,1.4,4.5,7.5
Tottenham,0,0,0,0,0,0,Draw,J Moss,3.25,3.6,2.3,3.1,3.5,2.3
Stoke,0,1,1,0,0,0,Draw,M Oliver,4.2,3.5,2.0,4.0,3.4,2.0
Southampton,1,0,1,-1,0,0,Loss,P Dowd,1.83,3.75,4.75,1.87,3.8,4.25
QPR,0,0,2,2,1,0,Win,N Swarbrick,6.0,4.2,1.62,4.75,4.0,1.65
Leicester,1,3,1,2,2,0,Win,M Atkinson,1.36,5.5,9.5,1.36,5.0,7.5
West Ham,0,1,1,0,0,0,Draw,M Clattenburg,4.2,3.6,1.95,3.75,3.25,2.0
Burnley,1,3,1,2,1,0,Win,K Friend,1.29,6.0,12.0,1.3,5.75,8.0
Swansea,0,2,1,-1,0,0,Loss,N Swarbrick,4.2,3.5,2.0,3.6,3.4,2.0
Sunderland,1,2,0,2,1,0,Win,R East,1.36,5.25,10.0,1.36,5.0,9.25
Newcastle,0,0,1,1,2,0,Win,A Taylor,4.2,3.5,2.0,4.0,3.4,2.0
Tottenham,1,3,0,3,3,1,Win,M Clattenburg,1.91,3.75,4.33,1.91,3.5,4.25
Liverpool,0,1,2,1,4,1,Win,M Atkinson,2.05,3.4,3.6,2.15,3.4,3.6
Aston Villa,1,3,1,2,5,1,Win,R East,1.3,5.5,10.0,1.3,5.0,9.5
Man City,1,4,2,2,6,1,Win,M Clattenburg,2.63,3.4,2.88,2.7,3.4,2.7
Chelsea,0,1,0,-1,0,0,Loss,M Dean,2.0,3.4,4.33,2.0,3.5,3.9
Everton,0,3,0,-3,0,0,Loss,A Marriner,3.75,3.4,2.15,3.4,3.4,2.2
West Brom,1,0,1,-1,0,0,Loss,A Taylor,1.36,5.25,10.0,1.36,5.25,8.75
Crystal Palace,0,1,2,1,1,0,Win,M Oliver,4.5,3.6,1.91,4.1,3.7,1.9
Arsenal,1,1,1,0,0,0,Draw,M Dean,2.45,3.5,3.0,2.4,3.5,2.95
Hull,0,0,0,0,0,0,Draw,L Probert,3.2,3.75,2.25,3.2,3.6,2.2
Tottenham,1,1,0,1,1,0,Win,J Moss,1.65,4.0,6.0,1.65,4.0,5.5
Aston Villa,0,0,1,1,2,0,Win,M Dean,5.5,3.8,1.73,5.0,3.75,1.75
Newcastle,1,0,0,0,0,0,Draw,C Pawson,1.36,5.25,10.0,1.36,5.0,9.25
Swansea,0,2,1,-1,0,0,Loss,M Atkinson,3.6,3.3,2.25,3.2,3.2,2.25
Liverpool,1,3,1,2,1,0,Win,M Oliver,2.0,3.4,4.33,2.0,3.2,4.33
Southampton,0,2,3,1,2,0,Win,M Clattenburg,3.1,3.3,2.5,3.2,3.2,2.4
Sunderland,1,3,0,3,3,1,Win,M Jones,1.2,7.5,16.0,1.22,6.5,13.0
Arsenal,0,3,0,-3,0,0,Loss,A Taylor,2.0,3.8,3.8,2.0,3.5,3.75
Everton,0,0,3,3,1,0,Win,J Moss,3.25,3.4,2.38,3.0,3.3,2.4
Man City,1,0,0,0,0,0,Draw,M Clattenburg,2.6,3.5,2.8,2.65,3.3,2.85
Crystal Palace,0,0,0,0,0,0,Draw,M Jones,3.8,3.5,2.1,3.4,3.4,2.1
West Brom,1,2,0,2,1,0,Win,M Dean,1.33,5.25,12.0,1.33,5.0,8.75
Watford,0,1,2,1,2,0,Win,R Madley,4.33,3.4,2.0,3.9,3.4,2.0
Leicester,0,1,1,0,0,0,Draw,C Pawson,3.1,3.5,2.4,2.95,3.4,2.4
West Ham,1,0,0,0,0,0,Draw,M Clattenburg,1.44,4.5,9.0,1.44,4.33,8.0
Bournemouth,0,2,1,-1,0,0,Loss,A Taylor,3.4,3.4,2.3,3.2,3.3,2.3
Norwich,1,1,2,-1,0,0,Loss,M Oliver,1.45,4.5,8.5,1.45,4.5,7.75
Stoke,0,2,0,-2,0,0,Loss,K Friend,3.25,3.2,2.3,3.1,3.25,2.4
Chelsea,1,0,0,0,0,0,Draw,M Atkinson,2.6,3.3,3.0,2.6,3.25,2.9
Swansea,1,2,1,1,1,0,Win,J Moss,1.55,4.2,7.0,1.55,3.8,7.0
Newcastle,0,3,3,0,0,0,Draw,M Dean,5.0,3.7,1.8,5.0,3.6,1.75
Liverpool,0,0,1,1,1,0,Win,M Clattenburg,2.3,3.25,3.5,2.3,3.1,3.5
Southampton,1,0,1,-1,0,0,Loss,M Jones,1.91,3.5,4.75,1.9,3.4,4.4
Stoke,1,3,0,3,1,0,Win,R East,1.7,3.75,5.75,1.67,3.7,5.5
Chelsea,0,1,1,0,0,0,Draw,M Oliver,2.15,3.3,3.9,2.1,3.2,3.9
Sunderland,0,2,1,-1,0,0,Loss,A Marriner,5.25,3.75,1.75,4.75,3.5,1.8
Arsenal,1,3,2,1,1,0,Win,C Pawson,3.0,3.25,2.38,2.95,3.2,2.5
Watford,1,1,0,1,2,0,Win,M Jones,1.67,3.8,6.0,1.65,3.5,5.5
West Brom,0,1,0,-1,0,0,Loss,M Dean,4.33,3.4,2.0,4.2,3.25,1.91
Man City,0,0,1,1,1,0,Win,M Oliver,1.83,3.75,4.75,1.83,3.6,4.0
Everton,1,1,0,1,2,0,Win,A Marriner,2.1,3.5,3.75,2.0,3.4,3.6
Tottenham,0,3,0,-3,0,0,Loss,M Dean,1.91,3.5,4.0,1.91,3.3,4.1
Aston Villa,1,1,0,1,1,0,Win,K Friend,1.22,7.0,17.0,1.2,6.0,15.0
Crystal Palace,1,2,0,2,2,0,Win,L Mason,1.53,4.33,7.0,1.53,4.0,6.0
Leicester,1,1,1,0,0,0,Draw,M Oliver,2.1,3.4,3.9,2.1,3.4,3.6
Norwich,0,0,1,1,1,0,Win,C Pawson,4.5,3.6,1.91,4.1,3.4,1.87
West Ham,0,3,2,-1,0,0,Loss,M Dean,3.0,3.5,2.45,2.85,3.5,2.4
Bournemouth,1,3,1,2,1,0,Win,J Moss,1.67,4.2,5.25,1.67,4.0,5.0
Bournemouth,0,1,3,2,1,0,Win,A Marriner,4.75,3.6,1.85,4.6,3.5,1.75
Southampton,1,2,0,2,2,0,Win,A Taylor,1.53,4.2,7.5,1.48,4.33,8.0
Hull,0,0,1,1,3,1,Win,J Moss,8.0,4.1,1.44,7.0,4.5,1.45
Man City,1,1,2,-1,0,0,Loss,M Clattenburg,2.38,3.25,3.4,2.3,3.3,3.5
Watford,0,3,1,-2,0,0,Loss,M Oliver,6.0,4.2,1.62,5.5,4.0,1.62
Leicester,1,4,1,3,1,0,Win,M Dean,1.73,3.9,5.25,1.67,4.0,5.5
Stoke,1,1,1,0,0,0,Draw,R Madley,1.33,5.75,10.0,1.3,5.5,10.0
Liverpool,0,0,0,0,0,0,Draw,A Taylor,2.2,3.5,3.5,2.15,3.5,3.6
Chelsea,0,4,0,-4,0,0,Loss,M Atkinson,2.15,3.4,3.8,2.25,3.3,3.6
Burnley,1,0,0,0,0,0,Draw,M Clattenburg,1.2,7.0,19.0,1.2,6.5,15.0
Swansea,0,1,3,2,1,0,Win,N Swarbrick,5.0,4.0,1.73,4.75,3.9,1.72
Arsenal,1,1,1,0,0,0,Draw,A Marriner,2.6,3.4,2.9,2.5,3.4,2.8
West Ham,1,1,1,0,0,0,Draw,J Moss,1.45,4.75,8.0,1.48,4.5,6.75
Everton,0,1,1,0,0,0,Draw,M Oliver,3.6,3.5,2.15,3.7,3.5,2.1
Tottenham,1,1,0,1,1,0,Win,R Madley,2.2,3.4,3.6,2.15,3.4,3.4
Crystal Palace,0,1,2,1,2,0,Win,C Pawson,5.25,4.0,1.7,5.5,3.8,1.65
West Brom,0,0,2,2,3,1,Win,A Taylor,5.75,3.8,1.7,5.25,3.6,1.72
Sunderland,1,3,1,2,4,1,Win,M Atkinson,1.22,6.5,13.0,1.22,6.25,11.5
Middlesbrough,1,2,1,1,5,1,Win,L Mason,1.25,6.0,16.0,1.25,5.5,14.5
West Ham,0,0,2,2,6,1,Win,M Dean,6.0,4.0,1.65,5.5,4.0,1.62
Liverpool,1,1,1,0,0,0,Draw,M Oliver,2.15,3.4,3.75,2.15,3.3,3.6
Stoke,0,1,1,0,0,0,Draw,M Clattenburg,6.0,4.2,1.6,5.75,4.1,1.57
Hull,1,0,0,0,0,0,Draw,M Jones,1.2,7.5,17.0,1.18,7.5,15.0
Leicester,0,0,3,3,1,0,Win,A Taylor,5.75,4.0,1.65,5.25,3.8,1.67
Watford,1,2,0,2,2,0,Win,R Madley,1.25,6.5,14.0,1.25,6.25,11.5
Bournemouth,1,1,1,0,0,0,Draw,K Friend,1.25,6.5,15.0,1.25,6.0,12.0
Middlesbrough,0,1,3,2,1,0,Win,J Moss,6.0,3.7,1.7,5.75,3.7,1.65
West Brom,1,0,0,0,0,0,Draw,M Dean,1.36,5.0,11.0,1.36,5.0,8.5
Everton,1,1,1,0,0,0,Draw,N Swarbrick,1.57,4.2,6.5,1.55,4.0,6.5
Sunderland,0,0,3,3,1,0,Win,C Pawson,10.0,5.25,1.36,9.0,5.0,1.35
Chelsea,1,2,0,2,2,0,Win,R Madley,2.55,3.2,2.8,2.6,3.1,2.75
Burnley,0,0,2,2,3,1,Win,A Taylor,5.75,4.0,1.67,5.25,3.9,1.65
Man City,0,0,0,0,0,0,Draw,M Atkinson,1.91,3.75,4.2,1.87,3.75,4.0
Swansea,1,1,1,0,0,0,Draw,N Swarbrick,1.36,4.75,8.0,1.33,4.75,9.0
Arsenal,0,2,0,-2,0,0,Loss,A Marriner,1.91,3.7,4.33,1.85,3.7,4.25
Tottenham,0,2,1,-1,0,0,Loss,J Moss,1.73,3.9,5.25,1.67,4.0,5.0
Southampton,0,0,0,0,0,0,Draw,M Dean,2.75,3.3,2.8,2.65,3.3,2.7
Crystal Palace,1,2,0,2,1,0,Win,A Taylor,2.5,3.3,3.1,2.45,3.4,2.9
West Ham,1,4,0,4,1,0,Win,M Atkinson,1.3,5.75,12.0,1.28,5.5,11.0
Swansea,0,0,4,4,2,0,Win,J Moss,11.0,5.0,1.36,9.25,4.75,1.36
Leicester,1,2,0,2,3,1,Win,M Oliver,1.33,5.5,11.0,1.34,5.0,9.75
Stoke,0,2,2,0,0,0,Draw,N Swarbrick,7.5,4.5,1.5,6.5,4.33,1.5
Everton,1,4,0,4,1,0,Win,A Marriner,1.36,5.25,10.0,1.34,5.0,10.0
Southampton,0,0,1,1,2,0,Win,C Pawson,5.5,3.8,1.73,5.25,3.7,1.7
Crystal Palace,1,4,0,4,3,1,Win,M Dean,1.17,7.0,15.0,1.15,7.0,16.5
Liverpool,0,0,0,0,0,0,Draw,M Atkinson,2.8,3.25,2.8,2.7,3.3,2.65
Huddersfield,0,2,1,-1,0,0,Loss,L Mason,11.0,5.0,1.36,9.5,5.25,1.33
Tottenham,1,1,0,1,1,0,Win,J Moss,2.14,3.39,3.79,2.05,3.4,3.8
Chelsea,0,1,0,-1,0,0,Loss,A Taylor,2.5,3.2,3.2,2.45,3.2,3.0
Newcastle,1,4,1,3,1,0,Win,C Pawson,1.28,5.75,13.0,1.26,5.75,11.5
Brighton,1,1,0,1,2,0,Win,N Swarbrick,1.19,7.0,19.0,1.18,7.25,15.5
Watford,0,2,4,2,3,1,Win,J Moss,5.25,3.89,1.72,5.0,3.75,1.7
Arsenal,0,1,3,2,4,1,Win,A Marriner,2.5,3.39,3.0,2.45,3.25,3.0
Man City,1,1,2,-1,0,0,Loss,M Oliver,3.39,3.5,2.25,3.3,3.6,2.15
Bournemouth,1,1,0,1,1,0,Win,G Scott,1.28,6.0,12.0,1.26,5.75,11.5
West Brom,0,1,2,1,2,0,Win,A Taylor,6.5,4.0,1.6,6.0,4.0,1.57
Leicester,0,2,2,0,0,0,Draw,J Moss,4.5,3.6,1.9,4.33,3.5,1.87
Burnley,1,2,2,0,0,0,Draw,M Atkinson,1.25,6.5,15.0,1.25,5.75,13.0
Southampton,1,0,0,0,0,0,Draw,C Pawson,1.36,5.5,9.0,1.34,5.25,9.0
Everton,0,0,2,2,1,0,Win,A Marriner,5.5,3.5,1.8,5.25,3.5,1.75
Stoke,1,3,0,3,2,0,Win,A Taylor,1.22,7.0,15.0,1.22,7.0,11.5
Burnley,0,0,1,1,3,1,Win,M Dean,7.5,3.89,1.57,6.5,3.9,1.57
Tottenham,0,2,0,-2,0,0,Loss,A Marriner,2.35,3.29,3.39,2.25,3.25,3.4
