Opponent,HomeBool,FTHG,FTAG,ScoreDiff,WinStreak,TGS,Results,Referee,B365H,B365D,B365A,BWH,BWD,BWA
Huddersfield,1,2,0,2,1,0,Win,S Attwell,1.16,8.5,19.0,1.14,8.25,19.0
Newcastle,0,1,0,-1,0,0,Loss,C Pawson,5.5,3.75,1.61,5.5,3.8,1.65
Chelsea,1,2,1,1,1,0,Win,M Atkinson,2.29,3.25,3.5,2.2,3.25,3.5
Crystal Palace,0,2,3,1,2,0,Win,N Swarbrick,7.0,4.0,1.57,6.5,4.1,1.53
Liverpool,1,2,1,1,3,1,Win,C Pawson,2.75,3.39,2.75,2.65,3.3,2.7
Swansea,1,2,0,2,4,1,Win,R Madley,1.25,6.0,10.0,1.22,6.5,13.0
Man City,0,2,3,1,5,1,Win,M Atkinson,1.89,3.79,4.2,1.85,3.6,4.25
West Brom,1,0,1,-1,0,0,Loss,P Tierney,1.18,8.0,19.0,1.18,6.75,18.5
Bournemouth,0,0,2,2,1,0,Win,G Scott,5.0,3.89,1.75,5.0,3.8,1.7
Arsenal,1,2,1,1,2,0,Win,K Friend,1.44,4.75,8.0,1.44,4.5,7.5
Brighton,0,1,0,-1,0,0,Loss,C Pawson,4.75,3.6,1.85,4.5,3.5,1.85
West Ham,0,0,0,0,0,0,Draw,J Moss,4.75,3.79,1.8,4.33,3.75,1.8
Watford,1,1,0,1,1,0,Win,L Mason,1.39,5.25,8.5,1.36,5.25,8.0
Leicester,1,2,1,1,1,0,Win,A Marriner,1.57,3.9,7.5,1.53,4.0,7.5
Brighton,0,3,2,-1,0,0,Loss,K Friend,5.5,3.6,1.75,5.5,3.6,1.7
Tottenham,1,0,3,-3,0,0,Loss,C Pawson,2.62,3.3,2.9,2.55,3.2,2.9
Burnley,0,0,2,2,1,0,Win,J Moss,6.0,3.75,1.7,6.0,3.6,1.65
Watford,0,1,2,1,2,0,Win,M Dean,4.33,3.6,1.95,4.2,3.6,1.87
Wolves,1,1,1,0,0,0,Draw,K Friend,1.57,4.33,6.5,1.55,4.1,6.25
West Ham,0,3,1,-2,0,0,Loss,M Oliver,4.5,3.8,1.85,4.1,3.75,1.85
Newcastle,1,3,2,1,1,0,Win,A Taylor,1.44,4.5,9.0,1.44,4.5,7.5
Chelsea,0,2,2,0,0,0,Draw,M Dean,1.75,3.8,5.25,1.72,3.7,5.0
Everton,1,2,1,1,1,0,Win,J Moss,1.72,3.9,5.25,1.67,3.8,5.25
Bournemouth,0,1,2,1,2,0,Win,P Tierney,3.6,3.7,2.1,3.6,3.5,2.05
Man City,0,3,1,-2,0,0,Loss,A Taylor,1.4,5.25,8.5,1.4,5.0,7.5
Crystal Palace,1,0,0,0,0,0,Draw,L Mason,1.4,5.25,8.0,1.4,4.75,8.0
Southampton,0,2,2,0,0,0,Draw,K Friend,4.33,3.6,1.95,4.2,3.6,1.87
Arsenal,1,2,2,0,0,0,Draw,A Marriner,2.45,3.5,3.0,2.3,3.6,2.95
Fulham,1,4,1,3,1,0,Win,L Probert,1.33,5.75,10.0,1.33,5.5,8.75
Liverpool,0,3,1,-2,0,0,Loss,M Atkinson,1.57,4.5,6.0,1.53,4.33,6.0
Cardiff,0,1,5,4,1,0,Win,M Oliver,6.5,4.2,1.57,5.75,4.0,1.6
Huddersfield,1,3,1,2,2,0,Win,J Moss,1.25,6.5,15.0,1.22,6.25,14.0
Bournemouth,1,4,1,3,3,1,Win,L Mason,1.33,4.75,10.0,1.33,5.25,9.25
Newcastle,0,0,2,2,4,1,Win,A Marriner,6.0,4.2,1.61,6.0,4.0,1.57
Tottenham,0,0,1,1,5,1,Win,M Dean,2.05,3.7,3.75,2.05,3.6,3.5
Brighton,1,2,1,1,6,1,Win,P Tierney,1.3,5.75,12.0,1.3,5.5,10.5
Burnley,1,2,2,0,0,0,Draw,J Moss,1.28,6.0,12.0,1.26,6.0,12.0
Leicester,0,0,1,1,1,0,Win,M Dean,3.6,3.5,2.15,3.7,3.4,2.05
Fulham,0,0,3,3,2,0,Win,P Tierney,5.5,4.4,1.61,5.5,4.0,1.62
Liverpool,1,0,0,0,0,0,Draw,M Oliver,3.1,3.5,2.37,3.0,3.4,2.35
Crystal Palace,0,1,3,2,1,0,Win,M Atkinson,3.25,3.5,2.3,3.1,3.4,2.3
Southampton,1,3,2,1,2,0,Win,S Attwell,1.45,4.5,8.5,1.44,4.5,7.5
Arsenal,0,2,0,-2,0,0,Loss,J Moss,2.4,3.6,3.0,2.35,3.5,2.95
Watford,1,2,1,1,1,0,Win,S Attwell,1.44,4.75,8.0,1.42,4.75,7.5
Wolves,0,2,1,-1,0,0,Loss,M Dean,4.0,3.6,2.0,4.0,3.6,1.91
West Ham,1,2,1,1,1,0,Win,G Scott,1.4,5.25,8.5,1.42,4.75,7.5
Everton,0,4,0,-4,0,0,Loss,P Tierney,3.25,3.5,2.3,3.2,3.4,2.25
Man City,1,0,2,-2,0,0,Loss,A Marriner,7.5,5.0,1.44,7.0,4.75,1.44
Chelsea,1,1,1,0,0,0,Draw,M Atkinson,2.7,3.5,2.7,2.65,3.4,2.65
Huddersfield,0,1,1,0,0,0,Draw,L Mason,11.0,6.0,1.3,8.75,5.5,1.33
Cardiff,1,0,2,-2,0,0,Loss,J Moss,1.28,6.5,11.0,1.25,6.25,11.0
Chelsea,1,4,0,4,1,0,Win,A Taylor,2.1,3.3,3.5,2.15,3.3,3.5
Wolves,0,1,1,0,0,0,Draw,J Moss,3.3,3.3,2.25,3.3,3.25,2.3
Crystal Palace,1,1,2,-1,0,0,Loss,P Tierney,1.33,5.25,9.0,1.36,5.0,8.5
Southampton,0,1,1,0,0,0,Draw,M Dean,3.8,3.3,2.05,3.7,3.4,2.05
Leicester,1,1,0,1,1,0,Win,M Atkinson,1.95,3.5,4.0,1.87,3.7,4.1
West Ham,0,2,0,-2,0,0,Loss,A Taylor,3.1,3.6,2.2,3.25,3.6,2.15
Arsenal,1,1,1,0,0,0,Draw,K Friend,2.37,3.5,2.9,2.35,3.4,3.0
Newcastle,0,1,0,-1,0,0,Loss,M Dean,4.5,3.5,1.85,4.5,3.4,1.87
Liverpool,1,1,1,0,0,0,Draw,M Atkinson,5.25,3.8,1.65,5.0,4.0,1.67
Norwich,0,1,3,2,1,0,Win,S Attwell,4.33,4.0,1.75,4.33,4.0,1.75
Bournemouth,0,1,0,-1,0,0,Loss,C Kavanagh,3.25,3.6,2.15,3.25,3.6,2.15
Brighton,1,3,1,2,1,0,Win,J Moss,1.6,3.75,6.5,1.6,3.8,6.0
Sheffield United,0,3,3,0,0,0,Draw,A Marriner,3.5,3.4,2.1,3.6,3.25,2.15
Aston Villa,1,2,2,0,0,0,Draw,C Pawson,1.45,4.5,7.0,1.48,4.4,6.75
Tottenham,1,2,1,1,1,0,Win,P Tierney,2.75,3.4,2.55,2.65,3.5,2.6
Man City,0,1,2,1,2,0,Win,A Taylor,1.3,5.5,10.0,1.3,5.75,9.25
Everton,1,1,1,0,0,0,Draw,M Oliver,1.8,3.7,4.5,1.75,3.75,4.75
Watford,0,2,0,-2,0,0,Loss,L Mason,4.33,4.0,1.75,4.33,4.0,1.75
Newcastle,1,4,1,3,1,0,Win,K Friend,1.33,5.25,9.0,1.35,5.25,8.5
Burnley,0,0,2,2,2,0,Win,M Dean,4.33,3.75,1.8,4.33,3.6,1.85
Arsenal,0,2,0,-2,0,0,Loss,C Kavanagh,2.55,3.6,2.62,2.6,3.6,2.6
Norwich,1,4,0,4,1,0,Win,A Taylor,1.33,5.25,8.5,1.36,5.0,8.5
Liverpool,0,2,0,-2,0,0,Loss,C Pawson,1.36,5.25,8.0,1.4,5.25,7.0
Burnley,1,0,2,-2,0,0,Loss,J Moss,1.36,4.75,9.0,1.4,4.75,7.75
Wolves,1,0,0,0,0,0,Draw,P Tierney,2.25,3.25,3.4,2.2,3.1,3.6
Chelsea,0,0,2,2,1,0,Win,A Taylor,1.85,3.5,4.5,1.87,3.5,4.33
Watford,1,3,0,3,2,0,Win,M Atkinson,1.6,3.9,6.0,1.57,4.0,6.0
Everton,0,1,1,0,0,0,Draw,C Kavanagh,2.5,3.25,2.9,2.5,3.4,2.8
Man City,1,2,0,2,1,0,Win,M Dean,5.0,4.33,1.6,5.0,4.25,1.62
Tottenham,0,1,1,0,0,0,Draw,J Moss,3.0,3.4,2.37,2.95,3.4,2.4
Sheffield United,1,3,0,3,1,0,Win,A Taylor,1.4,4.5,8.5,1.42,4.5,8.0
Brighton,0,0,3,3,2,0,Win,A Marriner,6.0,3.8,1.61,6.0,3.8,1.62
Bournemouth,1,5,2,3,3,1,Win,M Dean,1.16,7.5,17.0,1.17,7.0,18.0
Aston Villa,0,0,3,3,4,1,Win,J Moss,9.0,5.25,1.33,9.25,5.25,1.33
Southampton,1,2,2,0,0,0,Draw,C Kavanagh,1.3,5.5,10.0,1.28,6.0,10.0
Crystal Palace,0,0,2,2,1,0,Win,G Scott,9.5,4.75,1.36,9.25,4.75,1.36
West Ham,1,1,1,0,0,0,Draw,P Tierney,1.22,6.5,11.0,1.25,6.25,11.5
Leicester,0,0,2,2,1,0,Win,M Atkinson,3.25,3.5,2.2,3.2,3.5,2.2
Bournemouth,0,1,3,2,1,0,Win,A Marriner,4.75,3.6,1.85,4.6,3.5,1.75
Southampton,1,2,0,2,2,0,Win,A Taylor,1.53,4.2,7.5,1.48,4.33,8.0
Hull,0,0,1,1,3,1,Win,J Moss,8.0,4.1,1.44,7.0,4.5,1.45
Man City,1,1,2,-1,0,0,Loss,M Clattenburg,2.38,3.25,3.4,2.3,3.3,3.5
Watford,0,3,1,-2,0,0,Loss,M Oliver,6.0,4.2,1.62,5.5,4.0,1.62
Leicester,1,4,1,3,1,0,Win,M Dean,1.73,3.9,5.25,1.67,4.0,5.5
Stoke,1,1,1,0,0,0,Draw,R Madley,1.33,5.75,10.0,1.3,5.5,10.0
Liverpool,0,0,0,0,0,0,Draw,A Taylor,2.2,3.5,3.5,2.15,3.5,3.6
Chelsea,0,4,0,-4,0,0,Loss,M Atkinson,2.15,3.4,3.8,2.25,3.3,3.6
Burnley,1,0,0,0,0,0,Draw,M Clattenburg,1.2,7.0,19.0,1.2,6.5,15.0
Swansea,0,1,3,2,1,0,Win,N Swarbrick,5.0,4.0,1.73,4.75,3.9,1.72
Arsenal,1,1,1,0,0,0,Draw,A Marriner,2.6,3.4,2.9,2.5,3.4,2.8
West Ham,1,1,1,0,0,0,Draw,J Moss,1.45,4.75,8.0,1.48,4.5,6.75
Everton,0,1,1,0,0,0,Draw,M Oliver,3.6,3.5,2.15,3.7,3.5,2.1
Tottenham,1,1,0,1,1,0,Win,R Madley,2.2,3.4,3.6,2.15,3.4,3.4
Crystal Palace,0,1,2,1,2,0,Win,C Pawson,5.25,4.0,1.7,5.5,3.8,1.65
West Brom,0,0,2,2,3,1,Win,A Taylor,5.75,3.8,1.7,5.25,3.6,1.72
Sunderland,1,3,1,2,4,1,Win,M Atkinson,1.22,6.5,13.0,1.22,6.25,11.5
Middlesbrough,1,2,1,1,5,1,Win,L Mason,1.25,6.0,16.0,1.25,5.5,14.5
West Ham,0,0,2,2,6,1,Win,M Dean,6.0,4.0,1.65,5.5,4.0,1.62
Liverpool,1,1,1,0,0,0,Draw,M Oliver,2.15,3.4,3.75,2.15,3.3,3.6
Stoke,0,1,1,0,0,0,Draw,M Clattenburg,6.0,4.2,1.6,5.75,4.1,1.57
Hull,1,0,0,0,0,0,Draw,M Jones,1.2,7.5,17.0,1.18,7.5,15.0
Leicester,0,0,3,3,1,0,Win,A Taylor,5.75,4.0,1.65,5.25,3.8,1.67
Watford,1,2,0,2,2,0,Win,R Madley,1.25,6.5,14.0,1.25,6.25,11.5
Bournemouth,1,1,1,0,0,0,Draw,K Friend,1.25,6.5,15.0,1.25,6.0,12.0
Middlesbrough,0,1,3,2,1,0,Win,J Moss,6.0,3.7,1.7,5.75,3.7,1.65
West Brom,1,0,0,0,0,0,Draw,M Dean,1.36,5.0,11.0,1.36,5.0,8.5
Everton,1,1,1,0,0,0,Draw,N Swarbrick,1.57,4.2,6.5,1.55,4.0,6.5
Sunderland,0,0,3,3,1,0,Win,C Pawson,10.0,5.25,1.36,9.0,5.0,1.35
Chelsea,1,2,0,2,2,0,Win,R Madley,2.55,3.2,2.8,2.6,3.1,2.75
Burnley,0,0,2,2,3,1,Win,A Taylor,5.75,4.0,1.67,5.25,3.9,1.65
Man City,0,0,0,0,0,0,Draw,M Atkinson,1.91,3.75,4.2,1.87,3.75,4.0
Swansea,1,1,1,0,0,0,Draw,N Swarbrick,1.36,4.75,8.0,1.33,4.75,9.0
Arsenal,0,2,0,-2,0,0,Loss,A Marriner,1.91,3.7,4.33,1.85,3.7,4.25
Tottenham,0,2,1,-1,0,0,Loss,J Moss,1.73,3.9,5.25,1.67,4.0,5.0
Southampton,0,0,0,0,0,0,Draw,M Dean,2.75,3.3,2.8,2.65,3.3,2.7
Crystal Palace,1,2,0,2,1,0,Win,A Taylor,2.5,3.3,3.1,2.45,3.4,2.9
Leeds,1,5,1,4,1,0,Win,P Tierney,1.53,4.5,5.75,1.53,4.5,5.75
Southampton,0,1,1,0,0,0,Draw,C Pawson,5.5,4.2,1.57,5.0,4.33,1.62
Wolves,0,0,1,1,1,0,Win,M Dean,5.0,3.5,1.75,5.0,3.4,1.8
Newcastle,1,4,1,3,2,0,Win,A Taylor,1.18,7.5,15.0,1.2,7.0,14.0
West Ham,0,1,2,1,3,1,Win,M Atkinson,4.33,4.0,1.75,4.4,4.0,1.75
Aston Villa,1,0,1,-1,0,0,Loss,M Dean,1.36,5.25,8.0,1.4,5.0,7.5
Everton,1,1,1,0,0,0,Draw,M Oliver,1.45,4.33,7.5,1.5,4.25,6.75
Leicester,0,4,2,-2,0,0,Loss,C Pawson,3.5,3.6,2.05,3.75,3.5,2.0
Liverpool,1,0,5,-5,0,0,Loss,A Taylor,3.1,3.6,2.2,3.0,3.5,2.25
Tottenham,0,0,3,3,1,0,Win,S Attwell,2.87,3.6,2.37,2.87,3.6,2.3
Man City,1,0,2,-2,0,0,Loss,M Oliver,4.75,4.0,1.7,4.4,3.9,1.73
Watford,0,4,1,-3,0,0,Loss,J Moss,6.5,4.75,1.45,6.0,4.5,1.5
Chelsea,0,1,1,0,0,0,Draw,A Taylor,1.57,4.0,6.0,1.58,4.2,5.5
